Optimizer,Epoch,Train_Loss,Val_Acc,Epoch_Time_sec
Adam,11,1.3921484072875976,0.6763,5.7144999504089355
Adam,12,1.3437220483779908,0.6864,5.744143724441528
Adam,13,1.2969340103530884,0.6781,5.732753276824951
Adam,14,1.2506114682388305,0.6729,5.755875587463379
Adam,15,1.2036165100479126,0.6654,5.732816696166992
Adam,16,1.1525077964401245,0.6648,5.710590839385986
Adam,17,1.1119781104660034,0.6616,5.733776569366455
Adam,18,1.0586511344909668,0.6576,5.753892660140991
Adam,19,1.0089998481750488,0.6479,5.7148277759552
Adam,20,0.9673044603729248,0.6409,5.739222288131714
Adam,21,0.9217505800056458,0.6362,5.723225355148315
Adam,22,0.882831887512207,0.6301,5.7014479637146
Adam,23,0.84561703748703,0.6357,5.756122350692749
Adam,24,0.8139099228668213,0.6225,5.785531520843506
Adam,25,0.7821264384841919,0.6256,5.705553293228149
Adam,26,0.7519710441589356,0.624,5.749523878097534
Adam,27,0.7214553132247925,0.6279,5.727889537811279
Adam,28,0.6968456660079956,0.6184,5.74851655960083
Adam,29,0.6794592809486389,0.614,5.757750988006592
Adam,30,0.6529400567245484,0.6039,5.754643440246582
Adam,31,0.6286504976272583,0.6088,5.75728702545166
Adam,32,0.6149901530838012,0.6095,5.735409259796143
Adam,33,0.6004965067386627,0.6147,5.735958814620972
Adam,34,0.5797278109550477,0.6088,5.7726171016693115
Adam,35,0.5608135226249695,0.6053,5.72056770324707
Adam,36,0.5550821458816528,0.6029,5.724889278411865
Adam,37,0.5428294773101807,0.6025,5.705490350723267
Adam,38,0.532128622264862,0.6023,5.749140977859497
Adam,39,0.5195769743824005,0.6055,5.728569984436035
Adam,40,0.5025277698707581,0.605,5.717045545578003
Adam,41,0.5013538764381409,0.6008,5.717139720916748
Adam,42,0.48623836994171143,0.6046,5.677274227142334
Adam,43,0.4764436227607727,0.5975,5.716490030288696
Adam,44,0.4719258156681061,0.601,5.711276292800903
Adam,45,0.47014261461257933,0.597,5.770161390304565
Adam,46,0.45330181407928466,0.601,5.708742380142212
Adam,47,0.45166696043014526,0.5935,5.7490856647491455
Adam,48,0.44465881004333496,0.6022,5.736621856689453
Adam,49,0.4405716243743896,0.6013,5.70918083190918
Adam,50,0.4344095575141907,0.5944,5.745432615280151
Adasecant,1,2.096464564285278,0.425,6.43698525428772
Adasecant,2,1.9505022591400147,0.4794,6.363692045211792
Adasecant,3,1.891043999900818,0.524,6.417495489120483
Adasecant,4,1.8453101235961915,0.5532,6.50281023979187
Adasecant,5,1.8096582378768922,0.5757,6.478963613510132
Adasecant,6,1.7771728408813476,0.6006,6.413517713546753
Adasecant,7,1.7475062823104859,0.6119,6.427513837814331
Adasecant,8,1.7227807522583007,0.6281,6.509623289108276
Adasecant,9,1.6994210231781006,0.6373,6.536076307296753
Adasecant,10,1.6775145956039428,0.6419,6.519932985305786
Adasecant,11,1.6587130501556397,0.6542,6.663906574249268
Adasecant,12,1.6381239907455445,0.6527,6.359901666641235
Adasecant,13,1.6178547066497804,0.6555,6.627861022949219
Adasecant,14,1.597402221031189,0.6679,6.410891771316528
Adasecant,15,1.5803528009796142,0.6672,6.542677640914917
Adasecant,16,1.5621575271987915,0.6692,6.460683822631836
Adasecant,17,1.5431983129119873,0.6747,6.43268084526062
Adasecant,18,1.5235089657592773,0.675,6.4671924114227295
Adasecant,19,1.5020060803985595,0.6835,6.58286190032959
Adasecant,20,1.484868650932312,0.681,6.574413299560547
Adasecant,21,1.4628348586273194,0.6752,6.4678590297698975
Adasecant,22,1.4382407722473145,0.6772,6.587197780609131
Adasecant,23,1.4181515684127808,0.6771,6.4287309646606445
Adasecant,24,1.3969145190048218,0.6787,6.4588563442230225
Adasecant,25,1.3739543128585816,0.6755,6.432306289672852
Adasecant,26,1.3557594600296021,0.6732,6.424361228942871
Adasecant,27,1.3292211600875854,0.6718,6.294988393783569
Adasecant,28,1.3082542749786377,0.6692,6.3843300342559814
Adasecant,29,1.2819094817352295,0.6677,6.411456108093262
Adasecant,30,1.2592016591644286,0.6682,6.450077056884766
Adasecant,31,1.2387010011672974,0.6649,6.543554306030273
Adasecant,32,1.2059318040084839,0.6611,6.463330507278442
Adasecant,33,1.1874163263702393,0.6664,6.512373685836792
Adasecant,34,1.1586912115478516,0.6591,6.504817247390747
Adasecant,35,1.1363071907806397,0.6563,6.461895704269409
Adasecant,36,1.1074253252029418,0.659,6.534619092941284
Adasecant,37,1.0862588857269286,0.654,6.52378511428833
Adasecant,38,1.059512840385437,0.6543,6.416844844818115
Adasecant,39,1.0392056997680663,0.6441,6.4325830936431885
Adasecant,40,1.0098694330978393,0.6486,6.547900199890137
Adasecant,41,0.9892533531570434,0.6478,6.479633092880249
Adasecant,42,0.9631546280288696,0.643,6.438683748245239
Adasecant,43,0.937035499458313,0.6347,6.463897943496704
Adasecant,44,0.9114847569274902,0.638,6.451245069503784
Adasecant,45,0.8928405001831055,0.6325,6.5186614990234375
Adasecant,46,0.8660036566925049,0.6261,6.480710983276367
Adasecant,47,0.84663189868927,0.6255,6.466135740280151
Adasecant,48,0.8259252348518371,0.6329,6.45970892906189
Adasecant,49,0.8109869485855102,0.6294,6.562131881713867
Adasecant,50,0.7932413520622253,0.6287,6.448174715042114
RMSprop,1,2.018756113548279,0.5169,5.7202723026275635
RMSprop,2,1.8391104184341431,0.5999,5.698996543884277
RMSprop,3,1.7622651245880128,0.6236,5.728208303451538
RMSprop,4,1.70549702003479,0.6383,5.71542501449585
RMSprop,5,1.6580650276565552,0.6591,5.753916263580322
RMSprop,6,1.6193747411727906,0.6562,5.6939733028411865
RMSprop,7,1.5819132568359375,0.6852,5.707080841064453
RMSprop,8,1.5433653032684327,0.6886,5.699304580688477
RMSprop,9,1.5079335093307495,0.6741,5.720181941986084
RMSprop,10,1.4727751705932617,0.675,5.708405017852783
RMSprop,11,1.4345096951675416,0.6726,5.7171547412872314
RMSprop,12,1.3924413793182373,0.686,5.70730996131897
RMSprop,13,1.3516651612472534,0.6734,5.697134256362915
RMSprop,14,1.313129728012085,0.6747,5.746718406677246
RMSprop,15,1.2691042358398437,0.6704,5.707717418670654
RMSprop,16,1.221081549949646,0.6622,5.6971235275268555
RMSprop,17,1.1771615436553955,0.6588,5.701214075088501
RMSprop,18,1.1316064032173156,0.6663,5.726789951324463
RMSprop,19,1.0882776394271851,0.6589,5.731076002120972
RMSprop,20,1.0503681771659852,0.6475,5.712947368621826
RMSprop,21,1.0072150519561767,0.646,5.695210695266724
RMSprop,22,0.9633938682937622,0.6425,5.6928651332855225
RMSprop,23,0.9220088566398621,0.6359,5.704499959945679
RMSprop,24,0.8838957571029663,0.6438,5.724581003189087
RMSprop,25,0.8504230409812927,0.6341,5.734633207321167
RMSprop,26,0.8137460904312134,0.6304,5.6880974769592285
RMSprop,27,0.7831767001342773,0.6211,5.735168933868408
RMSprop,28,0.7599590377616883,0.6216,5.697909593582153
RMSprop,29,0.7354119958877563,0.6212,5.6984381675720215
RMSprop,30,0.7098383683967591,0.6186,5.703167200088501
RMSprop,31,0.6850097645378113,0.6194,5.69943380355835
RMSprop,32,0.6604808436203002,0.6164,5.699462890625
RMSprop,33,0.6428227583312989,0.6106,5.730050325393677
RMSprop,34,0.6212278442001343,0.61,5.691911935806274
RMSprop,35,0.6062957271957398,0.6154,5.721996784210205
RMSprop,36,0.5839680757331848,0.6047,5.67008638381958
RMSprop,37,0.5739323214912414,0.6051,5.70366358757019
RMSprop,38,0.5630621032619476,0.6123,5.693320989608765
RMSprop,39,0.5476331774139405,0.614,5.704989671707153
RMSprop,40,0.5320708535385131,0.6116,5.743816375732422
RMSprop,41,0.525721480770111,0.6107,5.69914698600769
RMSprop,42,0.5155276060295105,0.6091,5.8234899044036865
RMSprop,43,0.5005712149810791,0.5994,5.7112603187561035
RMSprop,44,0.4838873389625549,0.6098,5.76310920715332
RMSprop,45,0.47572865510940554,0.6026,5.737999439239502
RMSprop,46,0.475992813949585,0.6073,5.777023792266846
RMSprop,47,0.4669315749359131,0.6013,5.701118469238281
RMSprop,48,0.4600329651451111,0.6019,5.6861302852630615
RMSprop,49,0.4510603119850159,0.6091,5.694416761398315
RMSprop,50,0.44738526001930234,0.6107,5.748176336288452
