Optimizer,Epoch,Train_Loss,Val_Acc,Epoch_Time_sec
SGD,1,2.1976357012176515,0.3316,5.753313064575195
SGD,2,2.012000841598511,0.4576,5.751962423324585
SGD,3,1.9310899719619752,0.5015,5.783092021942139
SGD,4,1.8838278868865967,0.5274,5.762609243392944
SGD,5,1.8480484155273438,0.5578,5.713588714599609
SGD,6,1.8133400777435302,0.5873,5.719119071960449
SGD,7,1.7837640311431884,0.6001,5.744477987289429
SGD,8,1.7578195514678956,0.616,5.752485275268555
SGD,9,1.7348284899902344,0.6253,5.72089695930481
SGD,10,1.7097813467788696,0.6459,5.690732479095459
SGD,11,1.6886789391326904,0.6453,5.696852207183838
SGD,12,1.668471410484314,0.6511,5.714869737625122
SGD,13,1.6488853884887695,0.6442,5.708181142807007
SGD,14,1.6277401471710204,0.6677,5.75934624671936
SGD,15,1.6114437170791627,0.6755,5.695224761962891
SGD,16,1.595307522201538,0.6802,5.722871780395508
SGD,17,1.577104702796936,0.6935,5.73505711555481
SGD,18,1.5590029575347901,0.6933,5.705376625061035
SGD,19,1.539375312538147,0.6889,5.72091007232666
SGD,20,1.5242705990219116,0.7015,5.74418568611145
SGD,21,1.5062697289276124,0.6977,5.773813962936401
SGD,22,1.4871848376464845,0.7049,5.684394598007202
SGD,23,1.4671182877349853,0.6992,5.756061553955078
SGD,24,1.4518727201080321,0.7062,5.717740774154663
SGD,25,1.431115308303833,0.7027,5.7111005783081055
SGD,26,1.4103377240753174,0.6988,5.682586669921875
SGD,27,1.3942643465423583,0.7034,5.821702480316162
SGD,28,1.3708461973571777,0.7013,5.812314510345459
SGD,29,1.3522622454452515,0.7019,5.759843349456787
SGD,30,1.3305226573944091,0.7011,5.698209047317505
SGD,31,1.309487901611328,0.7009,5.677252292633057
SGD,32,1.2872143306732178,0.6981,5.677674293518066
SGD,33,1.263267580909729,0.6878,5.648021459579468
SGD,34,1.2452933713150025,0.6965,5.704484462738037
SGD,35,1.2172613854217529,0.6878,5.706206560134888
SGD,36,1.1936814154052735,0.691,5.688573837280273
SGD,37,1.1772818616485596,0.6896,5.6983959674835205
SGD,38,1.1543952682113647,0.6836,5.718106746673584
SGD,39,1.1241397653961183,0.6916,5.745456218719482
SGD,40,1.099318620147705,0.6816,5.732412099838257
SGD,41,1.083948397216797,0.6804,5.692541122436523
SGD,42,1.0590585139083861,0.679,5.702782392501831
SGD,43,1.0350378847122192,0.6768,5.769018173217773
SGD,44,1.015408769454956,0.6771,5.698281526565552
SGD,45,0.9873066624069213,0.6719,5.720576286315918
SGD,46,0.9702558208084107,0.6696,5.67814040184021
SGD,47,0.9445727925109864,0.6725,5.662843227386475
SGD,48,0.9210981540107727,0.664,5.6516454219818115
SGD,49,0.8969976166152954,0.6705,5.676633834838867
SGD,50,0.877576192035675,0.6615,5.65517783164978
Adam,1,1.9965975009155272,0.5266,5.729396343231201
Adam,2,1.8323519080352784,0.5838,5.722589015960693
Adam,3,1.7555181280136107,0.6335,5.75273323059082
Adam,4,1.692796785812378,0.6529,5.713866949081421
Adam,5,1.643403405418396,0.6658,5.751272916793823
Adam,6,1.6005075262832642,0.6723,5.735992908477783
Adam,7,1.5641147819900512,0.683,5.7325780391693115
Adam,8,1.524111333618164,0.6928,5.714418649673462
Adam,9,1.4794110385894776,0.6869,5.755498886108398
Adam,10,1.4388002923583985,0.6916,5.77985143661499
